GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC21,HC01_EST_VC22,HC01_EST_VC23,AVERAGE_PERCENT_IN_COLLEGE,AVERAGE_TOTAL_IN_COLLEGE
Id,Id2,Geography,Total; Estimate; Population 18 years and over,Total; Estimate; Population 18 years and over - Enrolled in college or graduate school %,Total; Estimate;,,
1400000US06001450701,6001450701,"Census Tract 4507.01, Alameda County, California",5863,7,410,,
1400000US06001450741,6001450741,"Census Tract 4507.41, Alameda County, California",4015,4.6,185,,
1400000US06001450742,6001450742,"Census Tract 4507.42, Alameda County, California",3588,6.6,237,,
1400000US06001450743,6001450743,"Census Tract 4507.43, Alameda County, California",4264,5,213,,
1400000US06001450744,6001450744,"Census Tract 4507.44, Alameda County, California",3407,8.6,293,,
1400000US06001450745,6001450745,"Census Tract 4507.45, Alameda County, California",4045,5.5,222,,
1400000US06001450746,6001450746,"Census Tract 4507.46, Alameda County, California",2397,16.4,393,,
1400000US06001450750,6001450750,"Census Tract 4507.50, Alameda County, California",3185,7.3,233,,
1400000US06001450751,6001450751,"Census Tract 4507.51, Alameda County, California",2784,3,84,,
1400000US06001450752,6001450752,"Census Tract 4507.52, Alameda County, California",3739,4.4,165,,
1400000US06001451101,6001451101,"Census Tract 4511.01, Alameda County, California",5371,9.1,489,,
1400000US06001451102,6001451102,"Census Tract 4511.02, Alameda County, California",3073,10.3,317,,
1400000US06001451201,6001451201,"Census Tract 4512.01, Alameda County, California",5031,5.1,257,,
1400000US06001451202,6001451202,"Census Tract 4512.02, Alameda County, California",3053,7.1,217,,
1400000US06001451300,6001451300,"Census Tract 4513, Alameda County, California",5221,8.1,423,,
1400000US06001451401,6001451401,"Census Tract 4514.01, Alameda County, California",4973,5.9,293,,
1400000US06001451403,6001451403,"Census Tract 4514.03, Alameda County, California",1688,4.5,76,,
1400000US06001451404,6001451404,"Census Tract 4514.04, Alameda County, California",4547,8,364,,
1400000US06001451501,6001451501,"Census Tract 4515.01, Alameda County, California",3439,8.5,292,,
1400000US06001451503,6001451503,"Census Tract 4515.03, Alameda County, California",4324,6.8,294,,
1400000US06001451504,6001451504,"Census Tract 4515.04, Alameda County, California",1316,8.6,113,,
1400000US06001451505,6001451505,"Census Tract 4515.05, Alameda County, California",2500,14.4,360,,
1400000US06001451506,6001451506,"Census Tract 4515.06, Alameda County, California",2605,3.5,91,,
1400000US06001451601,6001451601,"Census Tract 4516.01, Alameda County, California",3945,5.9,233,,
1400000US06001451602,6001451602,"Census Tract 4516.02, Alameda County, California",5428,9.8,532,,
1400000US06001451701,6001451701,"Census Tract 4517.01, Alameda County, California",2149,3.5,75,,
1400000US06001451703,6001451703,"Census Tract 4517.03, Alameda County, California",3160,5.6,177,,
1400000US06001451704,6001451704,"Census Tract 4517.04, Alameda County, California",3222,8.2,264,,
1400000US06001981900,6001981900,"Census Tract 9819, Alameda County, California",28,0,0,,
1400000US06001982000,6001982000,"Census Tract 9820, Alameda County, California",73,0,0,,
1400000US06001983200,6001983200,"Census Tract 9832, Alameda County, California",560,7,39,,
1400000US06001990000,6001990000,"Census Tract 9900, Alameda County, California",0,-,,,
1400000US06003010000,6003010000,"Census Tract 100, Alpine County, California",967,9.2,89,,
1400000US06005000101,6005000101,"Census Tract 1.01, Amador County, California",3653,5.7,208,,
1400000US06005000102,6005000102,"Census Tract 1.02, Amador County, California",1497,2.1,31,,
1400000US06005000200,6005000200,"Census Tract 2, Amador County, California",3940,4.8,189,,
1400000US06005000301,6005000301,"Census Tract 3.01, Amador County, California",5036,4.3,217,,
1400000US06005000303,6005000303,"Census Tract 3.03, Amador County, California",3642,6.2,226,,
1400000US06005000304,6005000304,"Census Tract 3.04, Amador County, California",3114,4.6,143,,
1400000US06005000401,6005000401,"Census Tract 4.01, Amador County, California",3815,5.7,217,,
1400000US06005000402,6005000402,"Census Tract 4.02, Amador County, California",4326,7.4,320,,
1400000US06005000500,6005000500,"Census Tract 5, Amador County, California",2157,4.5,97,,
1400000US06007000102,6007000102,"Census Tract 1.02, Butte County, California",3037,7.9,240,,
1400000US06007000103,6007000103,"Census Tract 1.03, Butte County, California",2979,11.3,337,,
1400000US06007000104,6007000104,"Census Tract 1.04, Butte County, California",4464,9.7,433,,
1400000US06007000201,6007000201,"Census Tract 2.01, Butte County, California",3482,20.8,724,,
1400000US06007000202,6007000202,"Census Tract 2.02, Butte County, California",2754,12.2,336,,
1400000US06007000300,6007000300,"Census Tract 3, Butte County, California",3543,10,354,,
1400000US06007000401,6007000401,"Census Tract 4.01, Butte County, California",1819,24.7,449,,
1400000US06007000402,6007000402,"Census Tract 4.02, Butte County, California",5860,17.2,1008,,
1400000US06007000501,6007000501,"Census Tract 5.01, Butte County, California",3136,32.3,1013,,
1400000US06007000502,6007000502,"Census Tract 5.02, Butte County, California",3404,55,1872,,
1400000US06007000601,6007000601,"Census Tract 6.01, Butte County, California",2735,18.3,501,,
1400000US06007000603,6007000603,"Census Tract 6.03, Butte County, California",3209,66,2118,,
1400000US06007000604,6007000604,"Census Tract 6.04, Butte County, California",3720,56.2,2091,,
1400000US06007000700,6007000700,"Census Tract 7, Butte County, California",4079,18.1,738,,
1400000US06007000800,6007000800,"Census Tract 8, Butte County, California",4429,12.7,562,,
1400000US06007000901,6007000901,"Census Tract 9.01, Butte County, California",1790,11.6,208,,
1400000US06007000903,6007000903,"Census Tract 9.03, Butte County, California",4750,16.8,798,,
1400000US06007000904,6007000904,"Census Tract 9.04, Butte County, California",4805,8,384,,
1400000US06007001000,6007001000,"Census Tract 10, Butte County, California",4502,50.5,2274,,
1400000US06007001100,6007001100,"Census Tract 11, Butte County, California",3413,47.5,1621,,
1400000US06007001200,6007001200,"Census Tract 12, Butte County, California",2711,34.9,946,,
1400000US06007001300,6007001300,"Census Tract 13, Butte County, California",2957,11.3,334,,
1400000US06007001400,6007001400,"Census Tract 14, Butte County, California",4222,10.7,452,,
1400000US06007001500,6007001500,"Census Tract 15, Butte County, California",4224,11.1,469,,
1400000US06007001600,6007001600,"Census Tract 16, Butte County, California",3887,8.7,338,,
1400000US06007001702,6007001702,"Census Tract 17.02, Butte County, California",4391,7.9,347,,
1400000US06007001703,6007001703,"Census Tract 17.03, Butte County, California",2449,8,196,,
1400000US06007001704,6007001704,"Census Tract 17.04, Butte County, California",2560,8.5,218,,
1400000US06007001800,6007001800,"Census Tract 18, Butte County, California",4887,4,195,,
1400000US06007001900,6007001900,"Census Tract 19, Butte County, California",3007,12,361,,
1400000US06007002000,6007002000,"Census Tract 20, Butte County, California",4631,7.6,352,,
1400000US06007002100,6007002100,"Census Tract 21, Butte County, California",3983,10.8,430,,
1400000US06007002200,6007002200,"Census Tract 22, Butte County, California",3911,4.2,164,,
1400000US06007002300,6007002300,"Census Tract 23, Butte County, California",4109,6.1,251,,
1400000US06007002400,6007002400,"Census Tract 24, Butte County, California",4205,6.4,269,,
1400000US06007002500,6007002500,"Census Tract 25, Butte County, California",3878,12.4,481,,
1400000US06007002601,6007002601,"Census Tract 26.01, Butte County, California",1945,6.5,126,,
1400000US06007002602,6007002602,"Census Tract 26.02, Butte County, California",3095,4.3,133,,
1400000US06007002700,6007002700,"Census Tract 27, Butte County, California",4219,7.5,316,,
1400000US06007002800,6007002800,"Census Tract 28, Butte County, California",2933,10.5,308,,
1400000US06007002900,6007002900,"Census Tract 29, Butte County, California",2349,13.2,310,,
1400000US06007003001,6007003001,"Census Tract 30.01, Butte County, California",2582,11.9,307,,
1400000US06007003002,6007003002,"Census Tract 30.02, Butte County, California",2587,7,181,,
1400000US06007003100,6007003100,"Census Tract 31, Butte County, California",3491,8.8,307,,
1400000US06007003200,6007003200,"Census Tract 32, Butte County, California",3069,1.9,58,,
1400000US06007003300,6007003300,"Census Tract 33, Butte County, California",3534,5.4,191,,
1400000US06007003400,6007003400,"Census Tract 34, Butte County, California",2208,8.3,183,,
1400000US06007003501,6007003501,"Census Tract 35.01, Butte County, California",2348,10.5,247,,
1400000US06007003502,6007003502,"Census Tract 35.02, Butte County, California",3365,11.4,384,,
1400000US06007003600,6007003600,"Census Tract 36, Butte County, California",2583,7,181,,
1400000US06007003700,6007003700,"Census Tract 37, Butte County, California",3818,12.2,466,,
1400000US06009000120,6009000120,"Census Tract 1.20, Calaveras County, California",4109,4.4,181,,
1400000US06009000121,6009000121,"Census Tract 1.21, Calaveras County, California",3478,6.4,223,,
1400000US06009000122,6009000122,"Census Tract 1.22, Calaveras County, California",3242,7.5,243,,
1400000US06009000210,6009000210,"Census Tract 2.10, Calaveras County, California",8147,6.4,521,,
1400000US06009000220,6009000220,"Census Tract 2.20, Calaveras County, California",4307,3.2,138,,
1400000US06009000300,6009000300,"Census Tract 3, Calaveras County, California",5214,2.2,115,,
1400000US06009000400,6009000400,"Census Tract 4, Calaveras County, California",3142,4.3,135,,
1400000US06009000501,6009000501,"Census Tract 5.01, Calaveras County, California",3066,4.6,141,,
1400000US06009000503,6009000503,"Census Tract 5.03, Calaveras County, California",1369,3.9,53,,
1400000US06009000504,6009000504,"Census Tract 5.04, Calaveras County, California",449,5.6,25,,
1400000US06011000100,6011000100,"Census Tract 1, Colusa County, California",3578,7.8,279,,
1400000US06011000200,6011000200,"Census Tract 2, Colusa County, California",3764,4.8,181,,
1400000US06011000300,6011000300,"Census Tract 3, Colusa County, California",4347,7,304,,
1400000US06011000400,6011000400,"Census Tract 4, Colusa County, California",1762,4.3,76,,
1400000US06011000500,6011000500,"Census Tract 5, Colusa County, California",1804,6.8,123,,
1400000US06013301000,6013301000,"Census Tract 3010, Contra Costa County, California",3395,4.2,143,,
1400000US06013302005,6013302005,"Census Tract 3020.05, Contra Costa County, California",5099,11.8,602,,
1400000US06013302006,6013302006,"Census Tract 3020.06, Contra Costa County, California",2892,4,116,,
1400000US06013302007,6013302007,"Census Tract 3020.07, Contra Costa County, California",4447,9.3,414,,
1400000US06013302008,6013302008,"Census Tract 3020.08, Contra Costa County, California",5833,5.6,327,,
1400000US06013302009,6013302009,"Census Tract 3020.09, Contra Costa County, California",4423,11.1,491,,
1400000US06013302010,6013302010,"Census Tract 3020.10, Contra Costa County, California",7777,13,1011,,
1400000US06013303102,6013303102,"Census Tract 3031.02, Contra Costa County, California",5585,10.2,570,,
1400000US06013303103,6013303103,"Census Tract 3031.03, Contra Costa County, California",7318,8.8,644,,
1400000US06013303201,6013303201,"Census Tract 3032.01, Contra Costa County, California",7339,13.3,976,,
1400000US06013303202,6013303202,"Census Tract 3032.02, Contra Costa County, California",5039,9.9,499,,
1400000US06013303203,6013303203,"Census Tract 3032.03, Contra Costa County, California",6099,12.3,750,,
1400000US06013303204,6013303204,"Census Tract 3032.04, Contra Costa County, California",3770,5.3,200,,
1400000US06013303205,6013303205,"Census Tract 3032.05, Contra Costa County, California",6474,11.3,732,,
1400000US06013304001,6013304001,"Census Tract 3040.01, Contra Costa County, California",2574,4,103,,
1400000US06013304002,6013304002,"Census Tract 3040.02, Contra Costa County, California",960,6.8,65,,
1400000US06013304003,6013304003,"Census Tract 3040.03, Contra Costa County, California",3083,9,277,,
1400000US06013304004,6013304004,"Census Tract 3040.04, Contra Costa County, California",3213,7.3,235,,
1400000US06013304005,6013304005,"Census Tract 3040.05, Contra Costa County, California",4727,6.6,312,,
1400000US06013305000,6013305000,"Census Tract 3050, Contra Costa County, California",4582,5.6,257,,
1400000US06013306002,6013306002,"Census Tract 3060.02, Contra Costa County, California",2249,6.3,142,,
1400000US06013306003,6013306003,"Census Tract 3060.03, Contra Costa County, California",3807,9.6,365,,
1400000US06013306004,6013306004,"Census Tract 3060.04, Contra Costa County, California",2274,5.7,130,,
1400000US06013307101,6013307101,"Census Tract 3071.01, Contra Costa County, California",3385,10.5,355,,
